"","X5","X1500","X0","X0.1","X1"
"1",5,1500,0,0,1
"2",10,1318,1,0,1
"3",15,1518,1,0,1
"4",20,1362,2,0,1
"5",25,1632,2,0,1
"6",30,1906,2,0,1
"7",35,1866,2,0,1
"8",40,1866,2,0,1
"9",45,2020,2,0,1
"10",50,2020,2,0,1
"11",55,1995,2,0,1
"12",60,1973,2,0,1
"13",65,1951,2,0,1
"14",70,2113,2,0,1
"15",75,1873,3,0,1
"16",80,1832,3,0,1
"17",85,1732,3,0,1
"18",90,1514,4,0,1
"19",95,1486,5,0,1
"20",100,1078,7,0,1
"21",105,652,8,0,1
"22",110,822,8,0,1
"23",115,872,8,0,1
"24",5,1500,0,0,0
"25",10,920,3,0,0
"26",15,190,7,0,0
"27",20,396,7,0,0
"28",25,128,8,0,0
"29",30,54,8,0,0
"30",35,94,8,0,0
"31",40,94,8,0,0
"32",45,140,8,0,0
"33",50,140,8,0,0
"34",55,165,8,0,0
"35",60,387,8,0,0
"36",65,109,10,0,0
"37",70,121,11,1,0
"38",75,111,11,2,0
"39",80,272,13,2,0
"40",85,42,14,3,0
"41",90,60,14,3,0
"42",95,188,14,4,0
"43",100,236,14,4,0
"44",105,212,14,5,0
"45",110,142,14,7,0
"46",115,-8,0,0,0
"47",5,1500,0,0,1
"48",10,1100,2,0,1
"49",15,940,3,0,1
"50",5,1500,0,0,0
"51",10,707,4,0,0
"52",15,347,7,0,0
"53",5,1500,0,0,1
"54",10,1500,0,0,1
"55",15,1559,0,0,1
"56",20,1718,0,0,1
"57",25,1892,0,0,1
"58",30,1892,0,0,1
"59",35,1876,0,0,1
"60",40,1656,1,0,1
"61",45,1846,1,0,1
"62",50,1820,1,0,1
"63",55,2020,1,0,1
"64",60,1970,1,0,1
"65",65,2164,1,0,1
"66",70,1918,2,0,1
"67",75,2108,2,0,1
"68",80,2108,2,0,1
"69",85,1688,4,1,1
"70",90,1688,4,2,1
"71",95,1678,5,2,1
"72",100,1672,5,3,1
"73",5,1500,0,0,0
"74",10,280,6,0,0
"75",15,101,8,0,0
"76",20,142,8,0,0
"77",25,168,8,0,0
"78",30,308,9,0,0
"79",35,324,9,0,0
"80",40,124,10,0,0
"81",45,74,11,0,0
"82",50,200,11,2,0
"83",55,50,12,3,0
