"","X5","X1500","X0","X0.1","X1"
"1",5,1500,0,0,1
"2",10,1400,1,0,1
"3",15,500,5,0,1
"4",20,6,7,0,1
"5",25,6,8,0,1
"6",30,82,8,0,1
"7",35,108,8,0,1
"8",40,108,8,0,1
"9",45,108,8,0,1
"10",50,206,9,0,1
"11",55,314,9,0,1
"12",60,224,10,0,1
"13",65,246,11,0,1
"14",70,236,11,0,1
"15",75,236,11,0,1
"16",80,292,13,2,1
"17",85,292,13,4,1
"18",90,292,13,6,1
"19",95,302,14,7,1
"20",100,302,14,8,1
"21",105,386,14,10,1
"22",110,1061,14,11,1
"23",115,1084,14,11,1
"24",120,1436,14,11,1
"25",125,1463,14,11,1
"26",130,1443,14,11,1
"27",135,1719,15,11,1
"28",140,1969,15,11,1
"29",145,1981,15,11,1
"30",150,2075,15,11,1
"31",155,2605,16,11,1
"32",160,2451,17,11,1
"33",165,2451,17,11,1
"34",170,2351,18,11,1
"35",175,2351,18,11,1
"36",180,2131,19,11,1
"37",185,1731,20,11,1
"38",190,1947,20,11,1
"39",195,1933,20,11,1
"40",200,2453,20,11,1
"41",205,2443,20,11,1
"42",210,2643,20,11,1
"43",215,2643,20,11,1
"44",220,2643,20,11,1
"45",225,2571,21,11,1
"46",230,2783,21,11,1
"47",235,2783,21,11,1
"48",240,2880,21,11,1
"49",245,2884,21,11,1
"50",250,3184,21,11,1
"51",5,1500,0,0,0
"52",10,624,4,0,0
"53",15,84,5,0,0
"54",20,286,5,0,0
"55",25,112,6,0,0
"56",30,86,6,0,0
"57",35,260,6,0,0
"58",40,14,7,0,0
"59",45,14,7,0,0
"60",50,220,7,0,0
"61",55,166,7,0,0
"62",60,362,7,0,0
"63",65,394,7,0,0
"64",70,438,7,0,0
"65",75,421,7,0,0
"66",80,471,7,0,0
"67",85,368,7,0,0
"68",90,368,7,0,0
"69",95,328,7,0,0
"70",100,320,7,0,0
"71",105,186,7,0,0
"72",110,136,7,0,0
"73",115,138,7,0,0
"74",120,48,7,0,0
"75",125,-4,0,0,0
"76",130,-4,0,0,0
"77",135,-4,0,0,0
"78",140,-4,0,0,0
"79",145,-4,0,0,0
"80",150,-4,0,0,0
"81",155,-4,0,0,0
"82",160,-4,0,0,0
"83",165,-4,0,0,0
"84",170,-4,0,0,0
"85",175,-4,0,0,0
"86",180,-4,0,0,0
"87",185,-4,0,0,0
"88",190,-4,0,0,0
"89",195,-4,0,0,0
"90",200,-4,0,0,0
"91",205,-4,0,0,0
"92",210,-4,0,0,0
"93",215,-4,0,0,0
"94",220,-4,0,0,0
"95",225,-4,0,0,0
"96",230,-4,0,0,0
"97",235,-4,0,0,0
"98",240,-4,0,0,0
"99",245,-4,0,0,0
"100",250,-4,0,0,0
"101",5,1500,0,0,0
"102",10,1500,0,0,0
"103",15,1500,0,0,0
"104",20,1700,0,0,0
"105",25,1694,0,0,0
"106",30,1644,0,0,0
"107",35,1844,0,0,0
"108",40,1830,0,0,0
"109",45,1630,1,0,0
"110",50,1830,1,0,0
"111",55,1786,1,0,0
"112",60,1880,1,0,0
"113",65,1866,1,0,0
"114",70,1844,1,0,0
"115",75,2061,1,0,0
"116",80,2045,1,0,0
"117",85,2023,1,0,0
"118",90,2048,1,0,0
"119",95,2198,1,0,0
"120",100,2180,1,0,0
"121",105,2130,1,0,0
"122",110,1905,1,0,0
"123",115,1860,1,0,0
"124",120,1860,1,0,0
"125",125,1860,1,0,0
"126",130,1860,1,0,0
"127",135,1110,2,0,0
"128",140,1110,2,0,0
"129",145,1110,2,0,0
"130",150,1088,2,0,0
"131",155,1088,2,0,0
"132",160,1088,2,0,0
"133",165,1064,2,0,0
"134",170,-35,0,0,0
"135",175,-35,0,0,0
"136",180,-35,0,0,0
"137",185,-35,0,0,0
"138",190,-35,0,0,0
"139",195,-35,0,0,0
"140",200,-35,0,0,0
"141",205,-35,0,0,0
"142",210,-35,0,0,0
"143",215,-35,0,0,0
"144",220,-35,0,0,0
"145",225,-35,0,0,0
"146",230,-35,0,0,0
"147",235,-35,0,0,0
"148",240,-35,0,0,0
"149",245,-35,0,0,0
"150",250,-35,0,0,0
"151",5,1500,0,0,0
"152",10,1500,0,0,0
"153",15,1500,0,0,0
"154",20,1692,0,0,0
"155",25,1692,0,0,0
"156",30,1692,0,0,0
"157",35,1692,0,0,0
"158",40,1692,0,0,0
"159",45,1692,0,0,0
"160",50,1670,0,0,0
"161",55,1860,0,0,0
"162",60,1510,1,0,0
"163",65,1710,1,0,0
"164",70,1698,1,0,0
"165",75,1458,2,0,0
"166",80,1458,2,0,0
"167",85,1483,2,0,0
"168",90,1458,2,0,0
"169",95,1568,2,0,0
"170",100,1544,2,0,0
"171",105,1544,2,0,0
"172",110,1544,2,0,0
"173",115,1764,2,0,0
"174",120,1702,2,0,0
"175",125,1727,2,0,0
"176",130,1747,2,0,0
"177",135,1731,2,0,0
"178",140,1401,3,0,0
"179",145,1389,3,0,0
"180",150,1217,3,0,0
"181",155,967,3,0,0
"182",160,941,3,0,0
"183",165,965,3,0,0
"184",170,915,3,0,0
"185",175,915,3,0,0
"186",180,475,5,0,0
"187",185,375,5,0,0
"188",190,559,5,0,0
"189",195,573,5,0,0
"190",200,253,5,0,0
"191",205,263,5,0,0
"192",210,263,5,0,0
"193",215,263,5,0,0
"194",220,263,5,0,0
"195",225,135,5,0,0
"196",230,323,5,0,0
"197",235,323,5,0,0
"198",240,226,5,0,0
"199",245,322,5,0,0
"200",250,222,5,0,0
