"","throws","fortune","Mediterranean.Avenue","Baltic.Avenue","Reading.Railroad","Oriental.Avenue","Vermont.Avenue","Connecticut.Avenue","St..Charles.Place","Electric.Company","States.Avenue","Virginia.Avenue","Pennsylvania.Railroad","St..James.Place","Tennessee.Avenue","New.York.Avenue","Kentucky.Avenue","Indiana.Avenue","Illinois.Avenue","BO.Railroad","Atlantic.Avenue","Ventnor.Avenue","Water.Works","Marvin.Gardens","Pacific.Avenue","North.Carolina.Avenue","Pennsynvania.Avenue","Short.Line","Park.Place","Boardwalk","Mediterranean.Avenue.Houses","Baltic.Avenue.Houses","Reading.Railroad.Houses","Oriental.Avenue.Houses","Vermont.Avenue.Houses","Connecticut.Avenue.Houses","St..Charles.Place.Houses","Electric.Company.Houses","States.Avenue.Houses","Virginia.Avenue.Houses","Pennsylvania.Railroad.Houses","St..James.Place.Houses","Tennessee.Avenue.Houses","New.York.Avenue.Houses","Kentucky.Avenue.Houses","Indiana.Avenue.Houses","Illinois.Avenue.Houses","BO.Railroad.Houses","Atlantic.Avenue.Houses","Ventnor.Avenue.Houses","Water.Works.Houses","Marvin.Gardens.Houses","Pacific.Avenue.Houses","North.Carolina.Avenue.Houses","Pennsynvania.Avenue.Houses","Short.Line.Houses","Park.Place.Houses","Boardwalk.Houses","Mediterranean.Avenue.Other","Baltic.Avenue.Other","Reading.Railroad.Other","Oriental.Avenue.Other","Vermont.Avenue.Other","Connecticut.Avenue.Other","St..Charles.Place.Other","Electric.Company.Other","States.Avenue.Other","Virginia.Avenue.Other","Pennsylvania.Railroad.Other","St..James.Place.Other","Tennessee.Avenue.Other","New.York.Avenue.Other","Kentucky.Avenue.Other","Indiana.Avenue.Other","Illinois.Avenue.Other","BO.Railroad.Other","Atlantic.Avenue.Other","Ventnor.Avenue.Other","Water.Works.Other","Marvin.Gardens.Other","Pacific.Avenue.Other","North.Carolina.Avenue.Other","Pennsynvania.Avenue.Other","Short.Line.Other","Park.Place.Other","Boardwalk.Other","Mediterranean.Avenue.Other.Houses","Baltic.Avenue.Other.Houses","Reading.Railroad.Other.Houses","Oriental.Avenue.Other.Houses","Vermont.Avenue.Other.Houses","Connecticut.Avenue.Other.Houses","St..Charles.Place.Other.Houses","Electric.Company.Other.Houses","States.Avenue.Other.Houses","Virginia.Avenue.Other.Houses","Pennsylvania.Railroad.Other.Houses","St..James.Place.Other.Houses","Tennessee.Avenue.Other.Houses","New.York.Avenue.Other.Houses","Kentucky.Avenue.Other.Houses","Indiana.Avenue.Other.Houses","Illinois.Avenue.Other.Houses","BO.Railroad.Other.Houses","Atlantic.Avenue.Other.Houses","Ventnor.Avenue.Other.Houses","Water.Works.Other.Houses","Marvin.Gardens.Other.Houses","Pacific.Avenue.Other.Houses","North.Carolina.Avenue.Other.Houses","Pennsynvania.Avenue.Other.Houses","Short.Line.Other.Houses","Park.Place.Other.Houses","Boardwalk.Other.Houses","mortagedSelf","liftMortageSelf","mortagedOther","liftMortageOthers","fortuneOthers","win"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",100,1237,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-117,1
"3",121,1430,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-909,1
"4",99,-706,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,1,1043,0
"5",152,1764,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-877,1
"6",87,1575,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-295,1
"7",198,-557,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1752.5,0
"8",63,1344,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-467,1
"9",263,-1476,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,1,2,6194,0
"10",733,-161,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14771,0
