"","throws","fortune","Mediterranean Avenue","Baltic Avenue","Reading Railroad","Oriental Avenue","Vermont Avenue","Connecticut Avenue","St. Charles Place","Electric Company","States Avenue","Virginia Avenue","Pennsylvania Railroad","St. James Place","Tennessee Avenue","New York Avenue","Kentucky Avenue","Indiana Avenue","Illinois Avenue","B&O Railroad","Atlantic Avenue","Ventnor Avenue","Water Works","Marvin Gardens","Pacific Avenue","North Carolina Avenue","Pennsynvania Avenue","Short Line","Park Place","Boardwalk","Mediterranean Avenue Houses","Baltic Avenue Houses","Reading Railroad Houses","Oriental Avenue Houses","Vermont Avenue Houses","Connecticut Avenue Houses","St. Charles Place Houses","Electric Company Houses","States Avenue Houses","Virginia Avenue Houses","Pennsylvania Railroad Houses","St. James Place Houses","Tennessee Avenue Houses","New York Avenue Houses","Kentucky Avenue Houses","Indiana Avenue Houses","Illinois Avenue Houses","B&O Railroad Houses","Atlantic Avenue Houses","Ventnor Avenue Houses","Water Works Houses","Marvin Gardens Houses","Pacific Avenue Houses","North Carolina Avenue Houses","Pennsynvania Avenue Houses","Short Line Houses","Park Place Houses","Boardwalk Houses","Mediterranean Avenue Other","Baltic Avenue Other","Reading Railroad Other","Oriental Avenue Other","Vermont Avenue Other","Connecticut Avenue Other","St. Charles Place Other","Electric Company Other","States Avenue Other","Virginia Avenue Other","Pennsylvania Railroad Other","St. James Place Other","Tennessee Avenue Other","New York Avenue Other","Kentucky Avenue Other","Indiana Avenue Other","Illinois Avenue Other","B&O Railroad Other","Atlantic Avenue Other","Ventnor Avenue Other","Water Works Other","Marvin Gardens Other","Pacific Avenue Other","North Carolina Avenue Other","Pennsynvania Avenue Other","Short Line Other","Park Place Other","Boardwalk Other","Mediterranean Avenue Other Houses","Baltic Avenue Other Houses","Reading Railroad Other Houses","Oriental Avenue Other Houses","Vermont Avenue Other Houses","Connecticut Avenue Other Houses","St. Charles Place Other Houses","Electric Company Other Houses","States Avenue Other Houses","Virginia Avenue Other Houses","Pennsylvania Railroad Other Houses","St. James Place Other Houses","Tennessee Avenue Other Houses","New York Avenue Other Houses","Kentucky Avenue Other Houses","Indiana Avenue Other Houses","Illinois Avenue Other Houses","B&O Railroad Other Houses","Atlantic Avenue Other Houses","Ventnor Avenue Other Houses","Water Works Other Houses","Marvin Gardens Other Houses","Pacific Avenue Other Houses","North Carolina Avenue Other Houses","Pennsynvania Avenue Other Houses","Short Line Other Houses","Park Place Other Houses","Boardwalk Other Houses","mortagedSelf","liftMortageSelf","mortagedOther","liftMortageOthers","fortuneOthers","win"
"1",93,-101,5,0,0,0,0,1,0,0,0,0,0,20,0,27,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,46,0,0,10,0,2,23,0,0,23,18,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2531,0
"2",339,14974,0,0,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,15,0,0,19,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,1
"3",187,-1118,0,0,0,0,0,0,28,0,11,11,0,2,15,0,0,12,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,1,10,0,33,0,2,0,0,36,0,0,64,27,0,3,18,0,8,1,0,48,2,77,66,43,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,6,6,6,4494.5,0
"4",115,-317,0,4,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,34,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,12,0,0,1,56,13,25,2,7,4,28,8,41,3,17,104,75,1,0,53,4,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,1966,0
"5",41,1888,0,0,0,0,0,0,0,0,0,0,0,2,8,11,0,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,-120,1
"6",109,-262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,35,57,28,13,33,1,0,0,0,40,0,2,0,10,108,0,0,2,0,0,4,0,0,0,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2032,0
"7",36,-90,0,13,10,6,21,1,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,26,3,21,16,21,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,840,0
"8",134,6998,0,0,0,2,4,0,0,0,0,0,0,9,5,22,2,0,0,0,0,54,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,16,0,0,0,0,0,0,12,0,0,14,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-838,1
"9",121,-644,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,11,90,61,22,34,0,18,35,13,63,86,52,48,24,40,14,41,20,15,76,92,16,16,10,66,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1698,0
"10",84,1181.5,9,0,1,34,10,10,0,1,21,81,11,0,0,0,0,0,0,8,0,4,28,67,0,0,0,9,5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,31,17,26,2,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,18,52,0,-845,1
